"📍 See this list as a map (in more languages, too!)
📍 Vea esta lista como un mapa (¡en más idiomas también!)",,,Learn more about MALAN here!,Check out our directory here!,,,,,,,,,,
Submit an update,,,This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. ,,,,,,,,,,,
Greater LA Area,Bums & Roses,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday",Free Items,,,,children & baby clothes,Applications for clothing are available until 1/24/25,Bum & Roses,,https://bumsandroses.com/pages/california-wildfire-donation-support?fbclid=PAZXh0bgNhZW0CMTEAAaZk-5S32iJlJ0-W7cNEIpfsGlirBb2NUa-fDFBkRcu83AAaRmmN94yxSSA_aem_igx0K3aDHHXJeuWoRRElHw,1/18 1:15 PM,,
DTLA,The Bloc,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday",Donation Drives,"700 S Flower St, Los Angeles, CA 90017",,"Water, Non-perishable food items, Clothing (new or gently used), Emergency supplies (such as first aid kits, batteries, hygiene items, blankets, etc.)",,"1/13 - 1/24

The Bloc is hosting a donation drive inside the office lobby (700 S. Flower Street, Los Angeles, CA 90017) to provide essential items to those impacted by the LA County Wildfires. The drive will take place from 1.13 to 1.24. Donations will go directly to individuals and families in need, thanks to the partnership with the Ketchum-Downtown YMCA, who will distribute these resources through their sister YMCA chapters across LA in the fire impacted regions. 

contact: concierge@theblocla.com",The Bloc,,https://tbc.pwg.ai,1/18 7:30 PM,,
DTLA,Ketchum-Downtown YMCA,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 27 Monday, Jan 28 Tuesday, Jan 29 Wednesday, Jan 30 Thursday, Jan 31 Friday","Donation Drives, Free Items","401 S Hope St, Los Angeles, California 90071","Volunteer and Donations Window: 
M-F: 9am-5pm
Sat: 9am-12pm
Sun: closed

Potential volunteers should call the front desk beforehand to make sure there is work that needs to be done - we want to make the most of everyone's time. 
We are also looking for volunteers who can deliver goods to people and who are bilingual. ","Priority: hygiene items, baby food & supplies, pet food & supplies, easy-to-eat snacks
Accepting: non-perishable food, home goods, luggage
Not Accepting: clothing","We have set up a temporary clothing distribution center and food bank in our lobby. We are open to all in need and are operating under an ""open distribution"" model, so guests can take however much they need.","We are here to help anyone in need! 
For loading in our courtyard, people can drive up onto the sidewalk where the ""donations cone"" is and park out in front.
To get in contact Call the Front Desk: 213-624-2348 and ask for Nick or Hang.",YMCA Instagram,,https://www.ymcala.org/locations/ketchum-downtown-ymca,1/20/2025 4:27 PM,,
Pasadena,Heritage Clinic ,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday","Free Items, Donation Drives, Wifi/Charging",2033 E. Washington Blvd.  Pasadena CA 91104,,"masks, water, toiletries, toilet paper, new boys and girls toys, adult diapers, walkers, walking canes, blankets, women's hygiene products ect.

no clothing","Internet, Temporary Aid, Housing Navigation, case management, application form completion, other practical resources, water, diapers, toiletries, masks","Weekdays from 9am-5pm 
We speak Spanish
contact: 626-746-4983",Heritage,,https://heritageclinic.org,1/20/2025 7:30 AM,,
San Gabriel Valley,Santa Anita Family YMCA,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Donation Drives, Distribution Hub, Free Items","501 Mountain Ave
Monrovia, CA 91016","distribution
Still need volunteers for Sat 1/18 and Sun 1/19 Sign up here
",,"free items

free access to facilites, showers, lockers, fitness center, device charging and wifi

","Monday Jan 20 9am-5pm

Tuesda Jan21-Friday Jan 24 11am-6pm

Saurday Jan 25-Sunday Jan 26 9am-4pm",Instagram,,https://www.instagram.com/p/DFCGmGvpMoj/,1/19/2025 10:00 PM,,
Atwater,Kalon Wildfire Relief Free Market,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 27 Monday, Jan 28 Tuesday, Jan 29 Wednesday, Jan 30 Thursday, Jan 31 Friday",Free Items,"3559 1/2 W Casitas Ave, Los Angeles, CA 90039",,,"Monday - Friday,  10-4pm

Suitcases, travelers supplies, bedding, lotions, shoes, baby carriers, gift cards and apparel. All items are new.",,Instagram,,https://www.instagram.com/p/DE0vhwDSLsc/,1/20 7:45 AM,,
Alhambra,Chinatown Service Center,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 29 Wednesday, Jan 31 Friday, Jan 30 Thursday, Jan 28 Tuesday, Jan 27 Monday","Donation Drives, Services","726 E. Main Street, Suite A, Alhambra, CA","Looking for general volunteers as well as bilingual folks (Mandarin, Cantonese, Spanish, or any other language) to assist in case management tasks e.g. helping with FEMA applications.
Email cscinfo@cscla.org with the subject line ""LA Fire CSC Volunteer""","Bedding, towels, toiletries, cleaning supplies, and non-perishable foods","Translation services in Mandarin, Cantonese, Spanish, case management & care coordination, crisis counseling, medical services, support for caregivers, small business assistance","Hours are M-F 8am - 4pm. 

Contact 213-808-1700, cscinfo@cscla.org for more information. 

Services available at locations in DTLA, Alhambra, and Monterey Park","Website

",,https://www.cscla.org/lafirereliefresources,1/20 7:45 AM,,
Boyle Heights,Weingart East Los Angeles YMCA,"Jan 22 Wednesday, Jan 27 Monday, Jan 29 Wednesday","Free Items, Services","2900 Whittier Blvd, Los Angeles, CA 90023",,"essential food and support to our community, ensuring that everyone has access to the resources they need to thrive. If your organization is aware of individuals or families who could benefit, we invite you to pick up on their behalf and help spread the word","safe space, access services, essential item delivery","Mondays & Wednesdays
9am till supplies last",Instagram,,https://www.instagram.com/p/DExqM8hy0Ym/,1/18 7:00 PM,,
Koreatown,Love Hour Los Angeles,"Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives",524 S Western Blvd,Volunteers and drivers can fill out this Google Form to signup: https://docs.google.com/forms/d/e/1FAIpQLSfPVOpj5I5Dwakwey6a0VAUWAgxLnEinnzjgnymfRYDDB5p3g/viewform,"Taking supply donations 

As of Wed (1/15), not accepting clothing & perishable food donations

Looking for lunch donations for volunteers","Providing all supplies & essential items

Distributing Essential Items. For those impacted, Delivery or Pickup form here: https://docs.google.com/forms/d/e/1FAIpQLSfaaONgmZYbRVGBvvLU1QE6_T1LzytGY4cHqzU_sRuIcLWWwA/viewform?fbclid=PAZXh0bgNhZW0CMTEAAaa_cqQJM3GD3hWlnv7j1oxoSsgMvwI-8Nm3RHENXj8DptdnS6_hcIxV1Ow_aem_MncJ7XBDiroxvNyIjTyygQ","MONDAY: 10AM-4PM
TUESDAY: CLOSED
WEDNESDAY: CLOSED
THURSDAY: 12PM-7PM
FRIDAY: 12PM-7PM
SATURDAY: 10AM-4PM 
SUNDAY: 10AM-4PM

DM @lovehourlosangeles ",Instagram,,https://www.instagram.com/lovehourlosangeles/,1/19 10:15 PM,,
Pasadena,Neighbors and Friends,Jan 21 Tuesday,Donation Drives,"88 E Union Street, Pasadena, California 91103",,"Make up for darker skin tones, i.e. foundation, contour, highlighter, blush, lip products, eyeshadow, etc",,Tuesday-Sunday: 9:00 AM - 3:00 PM,Instagram,,https://www.instagram.com/p/DE3nT9ZP5Tf/?igsh=NTc4MTIwNjQ2YQ==,1/19/2025 10:00 PM,,
Pasadena,Onyx On Madison,Jan 21 Tuesday,"Free Items, Donation Drives","101 S Madison Ave Second Floor Unit 201, Pasadena, CA 91101",,"1/21 10am-5pm
hygine, blankets, towels, snacks, water bottles","1/21 10am-5pm
free hair wash and blow dry
first com, first served",,Instagram,,https://www.instagram.com/p/DEpmakVvg6M/?img_index=1,1/20 8:00 AM,,
Culver City,Black Image Center,Jan 21 Tuesday,Wifi/Charging,"3209 La Cienega Ave, Culver City, California 90232",,,"""A Moment to Process"" guided meditation, facilitated discussion, and journaling exercise",5:30pm - zoom,Register,,https://sagaftra.foundation/wildfire-emergency-resources/#,1/18 12:30 AM,,
Skid Row,The Sidewalk Project LA,Jan 21 Tuesday,Shelter,"768 Stanford Ave., Los Angeles, California 90021",Closed for distribution/doantion until Jan 21,Closed for distribution/doantion until Jan 21,Mutual aid hub services & drop in services for cis and trans women,Closed for distribution/doantion until Jan 21,Instagram,,https://www.instagram.com/thesidewalkprojectla/,1/18/2025 10:00 PM,,
Greater LA Area,Breathe Southern California,Jan 21 Tuesday,Free Items,,,,"Air purifiers to 100 households in the LA County meeting criteria (Medi-Cal, certain diagnosed conditions, self pick-up at their offices)

https://bit.ly/air-purif 

Priority to children, seniors, disabled, pregnant.","We will reopen for more to apply on Tuesday, Jan 21 at 9:00am

Must meet criteria:
Eligibility Requirements:
- You must live in Los Angeles County
- You must have Medi-Cal insurance
- You must have a diagnosed condition such as Asthma, COPD, Emphysema, Lung Cancer, or Heart Disease
- You must be able to pick up the air purifier in person at Breathe SoCal on the specified dates

Fill out intake form: https://bit.ly/air-purif ",Instagram,,https://www.instagram.com/breathesocal/?hl=en,1/19 8:00 PM,,
Greater LA Area,Project Camp,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday",Services,"1100 Eagle Vista Dr, Los Angeles, CA 90041","No need for more volunteers at this time, but volunteers can express interest at www.projectcamp.co/volunteers",,"Free trauma-informed day camp/child care 
9am-3pm for children ages 6-16
Register here","Eagle Rock camp has been extended for another week, from 1/21-1/24, more sites to come 
Check instagram for updates ",Project Camp,,https://projectcamp.co/camps,1/18/2025 10:18 PM,,
Glendale,Project Camp,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday",Services,"1041 Shirlyjean St, Glendale, CA 91208","No need for more volunteers at this time, but volunteers can express interest at www.projectcamp.co/volunteers",,"Free trauma-informed day camp/child care 
9am-3pm for children ages 6-16
Register here","Locations in Eagle Rock and Glendale for 1/21-1/24, more sites to come
Check instagram for updates ",Project Camp,,https://projectcamp.co/camps,1/18/2025 10:18 PM,,
Culver City,Yo San University’s Blount Community Clinic ,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday",Free Items,"13315 W. Washington Blvd.,
Los Angeles, CA 90066",,,Free acupuncture for those in need,"Second Floor

Hours of operation: 
Monday-Thursday: 8:00 am – 9:00 pm
Friday: 8:00 am – 5:00 pm
Saturday: 8:30 am – 5:30 pm
Sunday: 8:30 am – 7:00 pm

Closed 1/20

For hours and availability, please call 310-577-3006.",Yo San,,"https://yosan.edu/acupuncture-clinic-los-angeles/
https://www.instagram.com/p/DEyCa1ySOz0/",1/20 8:00 AM,,
Burbank,NCJW|LA & The Council Shop: Burbank,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","2515 W Magnolia Blvd, Burbank, CA, 91505  ",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Canoga Park,NCJW|LA & The Council Shop: Canoga Park,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","21716 Sharman Wy, Canoga Park, CA 91303",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Palms,NCJW|LA & The Council Shop: Palms,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","3757 Overland Ave, Los Angeles, CA 90034",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Santa Monica,NCJW|LA & The Council Shop: Santa Monica,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","10960 Santa Monica Blvd, Los Angeles, CA 90025 ",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Mar Vista,NCJW|LA & The Council Shop: Mar Vista,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","12120 Venice Blvd. Los Angeles, CA 90066",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
West LA,NCJW|LA & The Council Shop: Granville-West LA,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","11801 Santa Monica Blvd, Los Angeles, CA 90025                  ",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Fairfax,NCJW|LA & The Council Shop: Fairfax,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday","Free Items, Donation Drives","360 N Fairfax Ave. Los Angeles, CA 90036",PAUSED,"Acceptable Donations: New or gently used clothing that is clean and free of damage
New underwear and socks of all sizes
New blankets, bedding, and towels
New and unused personal hygiene and toiletry items
New children’s toys or new stuffed animals",A $100 digital voucher is redeemable in person at any one of the seven The Council Shop locations.,"Spanish Speakers

Open Daily -- Sunday-Thursday: 10AM – 6PM and Friday-Saturday: 10AM – 7PM
Donation Center Hours: 8AM – 5PM",NCJW|LA,,https://www.ncjwla.org/lafire/,1/20 8:00 AM,,
Pasadena,SGV ReStore / Pasadena ReStore,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 24 Friday, Jan 25 Saturday, Jan 26 Sunday",Free Items,"32 N Sierra Madre Blvd, Pasadena, CA 91107","Construction & Carpentry, Painting & Finishing, Logistics & Transportation, Community Support & Outreach, Administrative Assistance

Sign up here: https://lp.constantcontactpages.com/sv/IjI0t3S/EatonFireRelief",,"Clothes, bedding, towels, toiletries, essential items. As you rebuild, the Pasadena ReStore will have appliances, furniture, doors, and windows available for 40% discount for those affected by the fires (will need to show proof of address).","Open 10am-6pm Tuesday-Saturday, 
Sunday 12-5pm ",Instagram,,https://www.instagram.com/p/DE0u3E4Jwi3/,1/20 8:00 AM,,
Glendale,Nova Community Arts,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 23 Thursday, Jan 26 Sunday","Donation Drives, Free Items","3421 Glendale Blvd Los Angeles, CA 90038",,"paper, drawing utensils, sketchbooks, paint and brushes, block printing materials, youth arts and crafts supplies, sewing supplies, clay, yarn, fabric, stationary, bookbinding supplies, equipment and tools",SUNDAY JAN 26 from 12PM-5PM: Art supplies,"donation drop-offs will be open from 5-8pm on Jan 21-23, and 10am-5pm on Jan 25!",Instagram,,https://www.instagram.com/p/DE5LxgWPNOD/?img_index=1,1/20 8:00 AM,,
Burbank,Convalescent Aid Society,"Jan 21 Tuesday, Jan 22 Wednesday, Jan 25 Saturday","Services, Free Items","1305 W. Magnolia Blvd., Burbank, CA 91506",,Lightly Used medical equipment,"Free loan of medical equipment, no time restraints
Bathing aid equipment, hospital beds and matresses, mobility equipment, toileting aids","Sat 01/18 - 9a-4p
For Altadena/Pasadena residents directly impacted by the fire: call (626) 793-1696 x300 for immediate assistance. Calls from wildfire victims are being prioritized.
Pasadena office closed",Convalescent Aid Society,,https://convalescentaidsociety.com/,1/18 12:00 AM,,
